STN,TIME,PMSL,ALTM,TMPC,DWPC,RELH,DRCT,SPED,GUMS,PEAK,VSBK,LCHD,CLHL,MCHD,CLHM,HCHD,CLHH,CFRT,WMTR,T6NC,T6XC,P01M,P03M,P06M
VECC,2026-01-31 17:30:00,,1017.00,19,14,73,360,2,,,2.6,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-01-31 18:00:00,,1017.00,19,14,73,340,2,,,2.6,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-01-31 18:30:00,,1017.00,19,14,73,0,0,,,2.6,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-01-31 19:00:00,,1017.00,19,14,73,0,0,,,2.6,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-01-31 19:30:00,,1016.00,18,14,77,330,2,,,2.6,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-01-31 20:00:00,,1016.00,18,14,77,340,2,,,2.6,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-01-31 20:30:00,,1016.00,17,14,82,10,2,,,2.6,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-01-31 21:00:00,,1016.00,17,13,77,350,3,,,2.6,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-01-31 21:30:00,,1016.00,16,12,77,350,3,,,2.6,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-01-31 22:00:00,,1016.00,16,12,77,360,4,,,2.3,FEW,10000,,,,,2,FG,,,,,
VECC,2026-01-31 22:30:00,,1016.00,15,12,82,360,3,,,2.3,FEW,10000,,,,,2,FG,,,,,
VECC,2026-01-31 23:00:00,,1016.00,15,12,82,350,4,,,2.3,FEW,10000,,,,,2,FG,,,,,
VECC,2026-01-31 23:30:00,,1017.00,14,12,88,350,4,,,2.3,FEW,10000,,,,,2,FG,,,,,
VECC,2026-02-01 00:00:00,,1017.00,15,12,82,350,4,,,2.3,FEW,10000,,,,,2,FG,,,,,
VECC,2026-02-01 00:30:00,,1017.00,14,12,88,360,4,,,2.2,FEW,10000,,,,,2,FG,,,,,
VECC,2026-02-01 01:00:00,,1018.00,15,12,82,360,4,,,2.0,SCT,10000,,,,,3,FG,,,,,
VECC,2026-02-01 01:30:00,,1019.00,15,13,88,360,4,,,2.0,SCT,10000,,,,,3,FG,,,,,
VECC,2026-02-01 02:00:00,,1019.00,16,13,82,360,4,,,1.8,SCT,10000,,,,,3,FG,,,,,
VECC,2026-02-01 02:30:00,,1019.00,17,13,77,350,5,,,1.8,FEW,2000,SCT,10000,,,3,FG,,,,,
VECC,2026-02-01 03:00:00,,1020.00,18,13,73,360,5,,,1.8,FEW,2000,SCT,10000,,,3,FG,,,,,
VECC,2026-02-01 03:30:00,,1020.00,19,13,68,360,4,,,2.0,FEW,2000,SCT,10000,,,3,FG,,,,,
VECC,2026-02-01 04:00:00,,1020.00,21,12,56,350,5,,,2.5,FEW,2000,SCT,10000,,,3,HZ,,,,,
VECC,2026-02-01 04:30:00,,1020.00,22,12,53,10,4,,,2.5,FEW,2000,SCT,10000,,,3,HZ,,,,,
VECC,2026-02-01 05:00:00,,1020.00,23,12,50,350,4,,,2.8,FEW,2000,SCT,10000,,,3,HZ,,,,,
VECC,2026-02-01 05:30:00,,1019.00,23,12,50,340,4,,,2.8,FEW,2000,SCT,10000,,,3,HZ,,,,,
VECC,2026-02-01 06:00:00,,1019.00,24,12,47,360,4,,,2.8,SCT,10000,,,,,3,HZ,,,,,
VECC,2026-02-01 06:30:00,,1018.00,24,12,47,350,4,,,3.2,SCT,10000,,,,,3,HZ,,,,,
VECC,2026-02-01 07:00:00,,1018.00,25,11,41,340,4,,,3.2,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-02-01 07:30:00,,1017.00,26,12,42,320,4,,,3.2,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-02-01 08:00:00,,1017.00,26,12,42,350,5,,,3.2,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-02-01 08:30:00,,1016.00,26,12,42,360,4,,,3.2,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-02-01 09:00:00,,1016.00,26,12,42,10,5,,,3.5,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-02-01 09:30:00,,1016.00,26,11,39,360,5,,,3.5,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-02-01 10:00:00,,1016.00,26,11,39,360,5,,,3.5,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-02-01 10:30:00,,1016.00,25,11,41,360,5,,,3.5,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-02-01 11:00:00,,1016.00,25,11,41,350,5,,,3.2,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-02-01 11:30:00,,1016.00,24,11,44,330,4,,,3.2,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-02-01 12:00:00,,1016.00,23,11,47,330,3,,,3.2,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-02-01 12:30:00,,1016.00,23,11,47,310,2,,,3.2,SCT,10000,,,,,3,HZ,,,,,
VECC,2026-02-01 13:00:00,,1017.00,22,11,50,300,3,,,3.2,SCT,10000,,,,,3,HZ,,,,,
VECC,2026-02-01 13:30:00,,1017.00,22,11,50,330,3,,,3.2,SCT,10000,,,,,3,HZ,,,,,
VECC,2026-02-01 14:00:00,,1017.00,22,12,53,330,3,,,3.2,SCT,10000,,,,,3,HZ,,,,,
VECC,2026-02-01 14:30:00,,1017.00,21,12,56,320,3,,,3.2,SCT,10000,,,,,3,HZ,,,,,
VECC,2026-02-01 15:00:00,,1017.00,20,12,60,340,2,,,3.2,SCT,10000,,,,,3,HZ,,,,,
VECC,2026-02-01 15:30:00,,1018.00,20,11,56,330,2,,,3.2,SCT,10000,,,,,3,HZ,,,,,
VECC,2026-02-01 16:00:00,,1018.00,20,11,56,320,3,,,3.0,SCT,10000,,,,,3,HZ,,,,,
VECC,2026-02-01 16:30:00,,1018.00,19,12,64,330,2,,,2.8,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-02-01 17:00:00,,1018.00,19,12,64,320,2,,,2.8,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-02-01 17:30:00,,1018.00,19,12,64,360,2,,,2.8,FEW,10000,,,,,2,HZ,,,,,
VECC,2026-02-01 18:00:00,,1018.00,18,12,68,10,2,,,2.8,FEW,10000,,,,,2,HZ,,,,,
