STN,TIME,PMSL,ALTM,TMPC,DWPC,RELH,DRCT,SPED,GUMS,PEAK,VSBK,LCHD,CLHL,MCHD,CLHM,HCHD,CLHH,CFRT,WMTR,T6NC,T6XC,P01M,P03M,P06M
VECC,2026-02-14 14:30:00,,1012.00,22,12,53,20,2,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-14 15:00:00,,1012.00,22,12,53,90,2,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-14 15:30:00,,1012.00,22,12,53,50,3,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-14 16:00:00,,1012.00,22,12,53,0,0,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-14 16:30:00,,1013.00,22,11,50,0,0,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-14 17:00:00,,1013.00,22,12,53,180,2,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-14 17:30:00,,1013.00,22,12,53,180,2,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-02-14 18:00:00,,1012.00,21,12,56,0,0,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-02-14 18:30:00,,1012.00,20,12,60,0,0,,,3.0,,,,,,,,HZ,,,,,
VECC,2026-02-14 19:00:00,,1012.00,20,13,64,280,2,,,3.0,,,,,,,,HZ,,,,,
VECC,2026-02-14 19:30:00,,1012.00,20,13,64,280,2,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-02-14 20:00:00,,1012.00,19,13,68,0,0,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-02-14 20:30:00,,1012.00,19,14,73,0,0,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-02-14 21:00:00,,1012.00,19,14,73,0,0,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-02-14 21:30:00,,1012.00,17,14,82,10,3,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-02-14 22:00:00,,1012.00,17,14,82,0,0,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-02-14 22:30:00,,1012.00,17,14,82,0,0,,,2.4,,,,,,,,FG,,,,,
VECC,2026-02-14 23:00:00,,1013.00,16,14,88,90,2,,,2.2,,,,,,,,FG,,,,,
VECC,2026-02-14 23:30:00,,1013.00,16,14,88,0,0,,,2.2,,,,,,,,FG,,,,,
VECC,2026-02-15 00:00:00,,1013.00,16,15,94,0,0,,,2.2,,,,,,,,FG,,,,,
VECC,2026-02-15 00:30:00,,1013.00,17,13,77,0,0,,,1.6,,,,,,,,FG,,,,,
VECC,2026-02-15 01:00:00,,1014.00,16,14,88,0,0,,,1.5,,,,,,,,FG,,,,,
VECC,2026-02-15 01:30:00,,1014.00,17,15,88,0,0,,,1.5,,,,,,,,FG,,,,,
VECC,2026-02-15 02:00:00,,1014.00,19,15,78,0,0,,,1.5,,,,,,,,FG,,,,,
VECC,2026-02-15 02:30:00,,1015.00,20,13,64,0,0,,,2.0,,,,,,,,FG,,,,,
