STN,TIME,PMSL,ALTM,TMPC,DWPC,RELH,DRCT,SPED,GUMS,PEAK,VSBK,LCHD,CLHL,MCHD,CLHM,HCHD,CLHH,CFRT,WMTR,T6NC,T6XC,P01M,P03M,P06M
VECC,2026-01-25 17:30:00,,1017.00,20,11,56,0,0,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-01-25 18:00:00,,1017.00,20,11,56,0,0,,,3.0,,,,,,,,HZ,,,,,
VECC,2026-01-25 18:30:00,,1016.00,20,11,56,330,2,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-25 19:00:00,,1016.00,19,11,60,10,2,,,2.6,,,,,,,,HZ,,,,,
VECC,2026-01-25 19:30:00,,1016.00,19,11,60,0,0,,,2.5,,,,,,,,HZ,,,,,
VECC,2026-01-25 20:00:00,,1016.00,18,11,64,0,0,,,2.4,,,,,,,,HZ,,,,,
VECC,2026-01-25 20:30:00,,1016.00,18,11,64,0,0,,,2.4,,,,,,,,HZ,,,,,
VECC,2026-01-25 21:00:00,,1016.00,18,11,64,0,0,,,2.2,,,,,,,,HZ,,,,,
VECC,2026-01-25 22:00:00,,1016.00,17,11,68,320,2,,,2.2,,,,,,,,HZ,,,,,
VECC,2026-01-25 22:30:00,,1016.00,18,11,64,320,2,,,2.2,,,,,,,,HZ,,,,,
VECC,2026-01-25 23:00:00,,1016.00,17,11,68,320,2,,,2.2,,,,,,,,HZ,,,,,
VECC,2026-01-25 23:30:00,,1017.00,17,11,68,360,3,,,2.0,,,,,,,,HZ,,,,,
VECC,2026-01-26 00:00:00,,1017.00,17,11,68,330,2,,,1.8,,,,,,,,FU,,,,,
VECC,2026-01-26 00:30:00,,1017.00,17,11,68,330,2,,,1.8,,,,,,,,FU,,,,,
VECC,2026-01-26 01:00:00,,1018.00,17,11,68,340,3,,,1.5,,,,,,,,FU,,,,,
VECC,2026-01-26 01:30:00,,1018.00,17,12,72,340,3,,,1.5,,,,,,,,FU,,,,,
VECC,2026-01-26 02:00:00,,1019.00,17,12,72,360,2,,,1.6,,,,,,,,FU,,,,,
VECC,2026-01-26 02:30:00,,1019.00,18,13,73,10,2,,,1.8,,,,,,,,FU,,,,,
VECC,2026-01-26 03:00:00,,1020.00,19,13,68,10,3,,,1.8,,,,,,,,FU,,,,,
VECC,2026-01-26 03:30:00,,1020.00,21,13,60,350,2,,,2.0,,,,,,,,HZ,,,,,
VECC,2026-01-26 04:00:00,,1020.00,22,14,60,360,4,,,2.2,,,,,,,,HZ,,,,,
VECC,2026-01-26 04:30:00,,1020.00,23,14,57,360,5,,,2.2,,,,,,,,HZ,,,,,
VECC,2026-01-26 05:00:00,,1019.00,23,14,57,330,4,,,2.2,,,,,,,,HZ,,,,,
VECC,2026-01-26 05:30:00,,1019.00,24,14,54,360,4,,,2.5,,,,,,,,HZ,,,,,
VECC,2026-01-26 06:00:00,,1019.00,25,14,50,350,3,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-26 06:30:00,,1018.00,25,13,47,350,3,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-26 07:00:00,,1017.00,26,13,45,350,3,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-26 07:30:00,,1017.00,26,12,42,270,2,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-01-26 08:00:00,,1016.00,27,13,42,320,3,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-01-26 08:30:00,,1016.00,27,12,39,300,4,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-01-26 09:00:00,,1016.00,27,11,37,310,4,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-01-26 09:30:00,,1016.00,27,11,37,330,4,,,4.0,,,,,,,,HZ,,,,,
VECC,2026-01-26 10:00:00,,1016.00,27,11,37,340,4,,,4.0,,,,,,,,HZ,,,,,
VECC,2026-01-26 10:30:00,,1016.00,26,11,39,340,5,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-01-26 11:00:00,,1016.00,26,10,37,330,5,,,3.5,,,,,,,,HZ,,,,,
VECC,2026-01-26 11:30:00,,1016.00,25,11,41,330,3,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-01-26 12:00:00,,1017.00,24,11,44,340,2,,,3.2,,,,,,,,HZ,,,,,
VECC,2026-01-26 12:30:00,,1017.00,24,11,44,360,3,,,3.0,,,,,,,,HZ,,,,,
VECC,2026-01-26 13:00:00,,1017.00,23,11,47,30,3,,,3.0,,,,,,,,HZ,,,,,
VECC,2026-01-26 13:30:00,,1017.00,22,12,53,10,2,,,3.0,,,,,,,,HZ,,,,,
VECC,2026-01-26 14:00:00,,1018.00,21,12,56,360,2,,,3.0,,,,,,,,HZ,,,,,
VECC,2026-01-26 14:30:00,,1018.00,21,12,56,10,2,,,3.0,,,,,,,,HZ,,,,,
VECC,2026-01-26 15:00:00,,1018.00,21,13,60,0,0,,,3.0,,,,,,,,HZ,,,,,
VECC,2026-01-26 15:30:00,,1019.00,20,13,64,0,0,,,3.0,,,,,,,,HZ,,,,,
VECC,2026-01-26 16:00:00,,1019.00,20,13,64,0,0,,,3.0,,,,,,,,HZ,,,,,
VECC,2026-01-26 16:30:00,,1019.00,20,14,68,60,2,,,3.0,,,,,,,,HZ,,,,,
VECC,2026-01-26 17:00:00,,1019.00,19,13,68,50,2,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-26 17:30:00,,1018.00,19,13,68,40,2,,,2.8,,,,,,,,HZ,,,,,
VECC,2026-01-26 18:00:00,,1018.00,19,13,68,30,2,,,2.8,,,,,,,,HZ,,,,,
